Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.00390232,784
2,0.00565313,1133
3,0.00844623,1687
4,0.0125579,2485
5,0.0184351,3628
6,0.0271445,5344
7,0.0397895,7751
8,0.0605903,11791
9,0.0936096,17956
10,0.140823,26539
11,0.211914,39185
12,0.315106,56820
13,0.459078,81300
14,0.630622,112590
15,0.785236,147048
16,0.888585,172979
17,0.944348,187404
18,0.972131,194294
19,0.985903,195680
20,0.992605,198249
21,0.99628,198963
22,0.998048,199412
23,0.99906,198689
24,0.999589,199580
25,0.99976,200296
26,0.999906,201369
27,0.999955,199909
28,0.999985,199923
29,1,199974
30,1,199052
31,1,199632
32,1,200362
33,1,199750
34,1,200176
35,1,197754
36,1,199720
37,1,199492
38,1,200358
39,1,200536
40,1,199390
41,1,200916
42,1,198854
43,1,198768
44,1,199718
45,1,201174
46,1,199284
47,1,199012
48,1,199844
49,1,200418
50,1,200548
51,1,198664
52,1,199112
53,1,197572
54,1,199698
55,1,200124
56,1,201304
57,1,201164
58,1,200066
59,1,200912
60,1,199946
61,1,199060
62,1,199522
63,1,200716
64,1,199502
65,1,198884
66,1,200196
67,1,199960
68,1,199578
69,1,199332
70,1,199412
71,1,199854
72,1,200846
73,1,200236
74,1,201838
75,1,199576
76,1,200920
77,1,199220
78,1,198890
79,1,199944
80,1,201418
81,1,198928
82,1,199760
83,1,198956
84,1,200244
85,1,200012
86,1,200288
87,1,198862
88,1,199408
89,1,198682
90,1,199382
91,1,197270
92,1,199700
93,1,201514
94,1,198646
95,1,199218
96,1,200230
97,1,200306
98,1,200100
99,1,200644
100,1,199408
101,1,199752
102,1,200292
103,1,199086
104,1,201218
105,1,199450
106,1,199430
107,1,200316
108,1,199438
109,1,200924
110,1,200144
111,1,201624
112,1,200372
113,1,200334
114,1,199344
115,1,199854
116,1,199678
117,1,198648
118,1,199190
119,1,200120
120,1,200088
NAN,NAN,NAN
1,0.00374774,747
2,0.00544388,1080
3,0.00802359,1600
4,0.0124357,2480
5,0.0192538,3787
6,0.0282614,5564
7,0.0427943,8438
8,0.0654186,12723
9,0.0974893,18646
10,0.148074,27871
11,0.22251,40871
12,0.329705,59033
13,0.476864,83662
14,0.646857,116204
15,0.798224,149584
16,0.898449,175663
17,0.949591,189094
18,0.974596,195773
19,0.987213,199257
20,0.9937,199056
21,0.996576,199684
22,0.998191,197524
23,0.999057,199242
24,0.999552,198683
25,0.999805,200047
26,0.99994,198832
27,0.999955,199789
28,0.99998,199288
29,1,199914
30,1,199314
31,1,200146
32,1,200504
33,1,200212
34,1,199262
35,1,198214
36,1,199774
37,1,200810
38,1,200622
39,1,199964
40,1,200312
41,1,200832
42,1,198952
43,1,200856
44,1,201438
45,1,198830
46,1,200330
47,1,201156
48,1,200308
49,1,200066
50,1,199352
51,1,200206
52,1,199440
53,1,199838
54,1,200442
55,1,198210
56,1,198048
57,1,200386
58,1,199138
59,1,201054
60,1,200890
61,1,197334
62,1,198582
63,1,197876
64,1,199716
65,1,200092
66,1,198704
67,1,200356
68,1,200498
69,1,200570
70,1,200850
71,1,200014
72,1,199678
73,1,197996
74,1,198982
75,1,201010
76,1,200414
77,1,200024
78,1,200098
79,1,200380
80,1,199044
81,1,200012
82,1,199002
83,1,199286
84,1,199484
85,1,199562
86,1,200970
87,1,200432
88,1,199046
89,1,199434
90,1,199408
91,1,199778
92,1,199748
93,1,199824
94,1,200572
95,1,200174
96,1,200626
97,1,198868
98,1,198366
99,1,198544
100,1,198758
101,1,200112
102,1,201296
103,1,198962
104,1,199538
105,1,199260
106,1,201136
107,1,198920
108,1,199554
109,1,199108
110,1,200404
111,1,200112
112,1,199548
113,1,201008
114,1,200550
115,1,200522
116,1,199994
117,1,198834
118,1,199684
119,1,198454
120,1,202008
NAN,NAN,NAN
1,0.00374119,734
2,0.0057552,1156
3,0.00867321,1731
4,0.0127897,2546
5,0.0192139,3809
6,0.0278941,5487
7,0.0413957,8060
8,0.0629423,12186
9,0.094409,18149
10,0.142291,26897
11,0.213175,39245
12,0.319187,57492
13,0.465592,82624
14,0.63575,112510
15,0.792509,147394
16,0.893848,173385
17,0.946269,189057
18,0.972896,195700
19,0.986305,198190
20,0.993405,198981
21,0.99651,198726
22,0.998148,199386
23,0.999042,200206
24,0.999497,200771
25,0.999758,198374
26,0.999879,199122
27,0.999925,199287
28,0.99992,200926
29,0.999995,201155
30,0.999995,200421
31,1,199884
32,1,199762
33,1,199538
34,1,199460
35,1,201508
36,1,199202
37,1,200690
38,1,199118
39,1,200274
40,1,199216
41,1,199958
42,1,201046
43,1,200614
44,1,201010
45,1,200034
46,1,201258
47,1,200010
48,1,200038
49,1,199222
50,1,199536
51,1,200010
52,1,199770
53,1,200174
54,1,201532
55,1,200240
56,1,199824
57,1,200076
58,1,198114
59,1,200032
60,1,199252
61,1,200520
62,1,201092
63,1,199686
64,1,201224
65,1,198788
66,1,200554
67,1,200554
68,1,201184
69,1,200456
70,1,201082
71,1,199880
72,1,200496
73,1,199640
74,1,200934
75,1,200270
76,1,200670
77,1,199188
78,1,198306
79,1,198974
80,1,200490
81,1,199082
82,1,199586
83,1,198322
84,1,200854
85,1,199434
86,1,200368
87,1,201614
88,1,198930
89,1,200148
90,1,199968
91,1,200150
92,1,200166
93,1,199822
94,1,199934
95,1,201550
96,1,200198
97,1,201484
98,1,200830
99,1,199828
100,1,199500
101,1,200572
102,1,199468
103,1,200500
104,1,199310
105,1,200822
106,1,200408
107,1,198948
108,1,198534
109,1,199552
110,1,199284
111,1,199304
112,1,200368
113,1,201286
114,1,199728
115,1,198786
116,1,201180
117,1,201190
118,1,200592
119,1,201542
120,1,199882
NAN,NAN,NAN
1,0.00382737,768
2,0.00628202,1253
3,0.0100066,1972
4,0.0143267,2849
5,0.0219303,4330
6,0.0336234,6639
7,0.0504501,9852
8,0.0766874,14745
9,0.116234,22085
10,0.176372,32620
11,0.263125,48054
12,0.38934,69392
13,0.551804,97676
14,0.721158,129768
15,0.850487,161322
16,0.924384,183566
17,0.961773,191512
18,0.980794,196655
19,0.990513,198685
20,0.995551,199843
21,0.997766,200567
22,0.998885,200622
23,0.999423,200964
24,0.999711,200362
25,0.99989,199920
26,0.999955,198099
27,0.999965,200055
28,0.99998,198042
29,0.99999,200418
30,0.999995,200935
31,1,200356
32,1,199448
33,1,200324
34,1,200328
35,1,201284
36,1,200940
37,1,199320
38,1,200588
39,1,199748
40,1,199988
41,1,198944
42,1,200224
43,1,199414
44,1,199720
45,1,198366
46,1,199808
47,1,201400
48,1,200540
49,1,199032
50,1,198140
51,1,199162
52,1,200240
53,1,197838
54,1,199014
55,1,201176
56,1,200462
57,1,200204
58,1,198270
59,1,198478
60,1,199446
61,1,198000
62,1,198714
63,1,200240
64,1,201024
65,1,200260
66,1,198706
67,1,199962
68,1,199508
69,1,199272
70,1,200962
71,1,202060
72,1,200346
73,1,200200
74,1,200066
75,1,201480
76,1,201552
77,1,200928
78,1,199268
79,1,199868
80,1,200622
81,1,200054
82,1,199482
83,1,200200
84,1,200394
85,1,202290
86,1,200554
87,1,199168
88,1,199122
89,1,199466
90,1,201570
91,1,199048
92,1,199892
93,1,198638
94,1,200074
95,1,202060
96,1,201352
97,1,200598
98,1,200246
99,1,200092
100,1,200972
101,1,199924
102,1,201412
103,1,200966
104,1,200300
105,1,199866
106,1,199626
107,1,200284
108,1,200306
109,1,200102
110,1,200022
111,1,199898
112,1,201592
113,1,201198
114,1,200182
115,1,201690
116,1,200002
117,1,200778
118,1,200682
119,1,200856
120,1,201562
NAN,NAN,NAN
1,0.00411657,821
2,0.00601659,1197
3,0.00916255,1830
4,0.0140027,2764
5,0.0206001,4040
6,0.0303897,6003
7,0.0441844,8706
8,0.0655281,12738
9,0.0986532,18928
10,0.151023,28485
11,0.227998,42249
12,0.339242,60938
13,0.491501,86804
14,0.659566,118094
15,0.807442,150864
16,0.902035,175563
17,0.951305,189656
18,0.975506,194553
19,0.988356,198375
20,0.994285,199016
21,0.997281,200272
22,0.998618,199442
23,0.999156,199977
24,0.999495,199931
25,0.999715,199935
26,0.99988,199318
27,0.99994,201320
28,0.999935,199941
29,0.999985,199997
30,1,199944
31,1,199120
32,1,199610
33,1,200300
34,1,198970
35,1,199580
36,1,199364
37,1,196898
38,1,200788
39,1,200314
40,1,200682
41,1,200862
42,1,199916
43,1,199716
44,1,199306
45,1,199814
46,1,199518
47,1,200318
48,1,200688
49,1,200718
50,1,199650
51,1,202046
52,1,201872
53,1,200386
54,1,200060
55,1,201510
56,1,200094
57,1,198842
58,1,198780
59,1,200712
60,1,199876
61,1,200144
62,1,200842
63,1,200254
64,1,199314
65,1,199186
66,1,199424
67,1,200148
68,1,201706
69,1,200388
70,1,199518
71,1,200854
72,1,200016
73,1,199942
74,1,200160
75,1,199892
76,1,200710
77,1,200012
78,1,199636
79,1,198820
80,1,199604
81,1,199244
82,1,199510
83,1,199740
84,1,201010
85,1,199244
86,1,201050
87,1,200610
88,1,199904
89,1,199444
90,1,200060
91,1,198970
92,1,200136
93,1,200298
94,1,200352
95,1,198874
96,1,200196
97,1,200392
98,1,200400
99,1,200408
100,1,200844
101,1,199848
102,1,200328
103,1,200324
104,1,199956
105,1,198972
106,1,199658
107,1,198926
108,1,197632
109,1,199452
110,1,200910
111,1,200748
112,1,199978
113,1,201182
114,1,200468
115,1,201188
116,1,200314
117,1,199060
118,1,199844
119,1,199346
120,1,198812
NAN,NAN,NAN
1,0.0038806,773
2,0.00627733,1252
3,0.00936337,1857
4,0.0142929,2841
5,0.0215936,4317
6,0.0317197,6238
7,0.0486372,9479
8,0.0730634,14116
9,0.110345,20860
10,0.166156,30892
11,0.250058,45321
12,0.369322,66198
13,0.52664,93152
14,0.698688,124685
15,0.836224,157839
16,0.917635,181578
17,0.95883,190694
18,0.979373,197332
19,0.989886,198589
20,0.994842,198256
21,0.997488,200555
22,0.998766,199142
23,0.999333,202195
24,0.999627,200763
25,0.999716,200955
26,0.999886,201109
27,0.999965,199975
28,0.999985,199369
29,0.999995,199861
30,0.999995,200283
31,1,198408
32,1,200770
33,1,198956
34,1,200536
35,1,203532
36,1,199456
37,1,199542
38,1,198956
39,1,200504
40,1,200870
41,1,199108
42,1,200450
43,1,200612
44,1,201536
45,1,199096
46,1,199662
47,1,199620
48,1,200180
49,1,200522
50,1,201556
51,1,198550
52,1,200192
53,1,199732
54,1,202138
55,1,201264
56,1,199778
57,1,200024
58,1,200634
59,1,200558
60,1,199614
61,1,200866
62,1,200354
63,1,199648
64,1,201290
65,1,200726
66,1,200150
67,1,200736
68,1,200046
69,1,199658
