"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"nos",2,0.008,0,NA,1,329.5,0.0005619899,1.7985e-08,0.00011230305,1.1738e-09,44303.781801,568604.514955,NA,0,NA,0,NA,1,0.26470785,0,NA,1,0,0,0,0,0,0,0,1,19029.707638,NA,19029.707638,NA
"nos",2,0.0118,0,NA,1,196.3,0.0011100738,9.3675e-08,0.0002360993,6.4155e-09,42763.574139,1601653.858,NA,0,NA,0,NA,1,0.3785465,0,NA,1,0,0,0,0,0,0,0,1,16849.0763485,NA,16849.0763485,NA
"nos",2,0.0156,0,NA,1,171.6,0.0015897878,2.1765e-07,0.00038269995,1.9705e-08,40397.3371635,3073032.1678,NA,0,NA,0,NA,1,0.43395235,0,NA,1,0,0,0,0,0,0,0,1,15007.4184655,NA,15007.4184655,NA
"nos",2,0.0194,0,NA,1,154.6,0.0019719721,3.9145e-07,0.00052859795,4.774e-08,37825.202909,5471009.78555,NA,0,NA,0,NA,1,0.49680705,0,NA,1,0,0,0,0,0,0,0,1,13412.1230915,NA,13412.1230915,NA
"nos",2,0.0232,0,NA,1,141.7,0.00236626175,6.71e-07,0.0007071715,1.01455e-07,35203.309174,7947669.64,NA,0,NA,0,NA,1,0.52214895,0,NA,1,0,0,0,0,0,0,0,1,12001.0778255,NA,12001.0778255,NA
"nos",2,0.027,0,NA,1,139.6,0.0027200809,1.09415e-06,0.0008868873,2.031e-07,32587.163776,12299170.75075,NA,0,NA,0,NA,1,0.54874325,0,NA,1,0,0,0,0,0,0,0,1,10798.9775495,NA,10798.9775495,NA
"nos",2,0.0308,0,NA,1,137.05,0.0029969515,1.623e-06,0.00105819415,3.2755e-07,30200.3634655,15515469.077,NA,0,NA,0,NA,1,0.57776365,0,NA,1,0,0,0,0,0,0,0,1,9749.0750391,NA,9749.0750391,NA
"nos",2,0.0346,0,NA,1,141.75,0.0033727535,2.6955e-06,0.00126134065,5.6055e-07,28293.584547,19820840.747,NA,0,NA,0,NA,1,0.58815115,0,NA,1,0,0,0,0,0,0,0,1,9006.8441499,NA,9006.8441499,NA
"nos",2,0.0384,0,NA,1,138.85,0.0036441046,3.9995e-06,0.0014520669,9.391e-07,26587.307807,23614631.6055,NA,0,NA,0,NA,1,0.61405085,0,NA,1,0,0,0,0,0,0,0,1,8365.7106658,NA,8365.7106658,NA
"nos",2,0.0422,0,NA,1,133.5,0.00385213345,4.997e-06,0.0016209597,1.25785e-06,25003.5466865,27139555.874,NA,0,NA,0,NA,1,0.6260989,0,NA,1,0,0,0,0,0,0,0,1,7773.8810196,NA,7773.8810196,NA
